Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
4/20,17/20,4900,490000,98.54795289039612,1617.896948158741,62.326964199543,143.0512680001557,0.0
4/20,18/20,4950,495000,96.73837113380432,1623.5419474244118,63.58774996548891,152.69262493401766,0.0
4/20,19/20,5000,500000,96.90666794776917,1631.7572028040886,63.99767304584384,159.4202094860375,0.0
5/20,0/20,5050,505000,96.88624286651611,1623.9025294780731,62.509750943630934,148.3931326493621,0.0
5/20,1/20,5100,510000,94.84203958511353,1620.0789827108383,63.48998786881566,154.3362796381116,0.0
5/20,2/20,5150,515000,98.31182551383972,1609.8385145664215,62.54089800640941,152.76792054995894,0.0
5/20,3/20,5200,520000,97.64646744728088,1623.6683465838432,63.1761322170496,148.5772038511932,0.0
5/20,4/20,5250,525000,97.75625491142273,1628.2070422768593,62.93536588177085,138.6977421194315,0.0
5/20,5/20,5300,530000,95.93140316009521,1658.7295855283737,64.07537052407861,156.1960749067366,0.0
5/20,6/20,5350,535000,97.1747932434082,1629.759176850319,62.54738521203399,149.23695058375597,0.0
5/20,7/20,5400,540000,94.97442317008972,1634.9882848858833,63.05151702091098,140.21080012619495,0.0
5/20,8/20,5450,545000,99.85528707504272,1622.1230819821358,62.59522468596697,147.37102511897683,0.0
5/20,9/20,5500,550000,98.75270748138428,1637.7071009874344,62.72396318614483,140.82824932783842,0.0
5/20,10/20,5550,555000,97.74299669265747,1637.2020413279533,62.383209835737944,144.81475215405226,0.0
5/20,11/20,5600,560000,97.7231650352478,1640.3689682483673,61.45328840613365,149.55416325852275,0.0
5/20,12/20,5650,565000,97.54683303833008,1651.4111394882202,61.16263986378908,148.54836659133434,0.0
5/20,13/20,5700,570000,103.40642285346985,1665.9147872924805,62.11162035912275,157.89829329773784,0.0
5/20,14/20,5750,575000,99.12033557891846,1670.9901176095009,62.313725870102644,145.30317059904337,0.0
5/20,15/20,5800,580000,98.24336671829224,1662.5457810759544,60.81501476466656,146.89847362786531,0.0
5/20,16/20,5850,585000,99.40855956077576,1650.4235476851463,61.830265175551176,163.47722877189517,0.0
5/20,17/20,5900,590000,98.67523455619812,1650.6030619740486,61.713563691824675,157.94935622811317,0.0
5/20,18/20,5950,595000,97.54285192489624,1673.397576868534,60.905550356954336,145.9410019107163,0.0
5/20,19/20,6000,600000,99.37185573577881,1696.7013551592827,60.72929814085364,150.2244499772787,0.0
6/20,0/20,6050,605000,98.2310152053833,1692.2148550152779,62.16569761186838,154.8648945018649,0.0
6/20,1/20,6100,610000,100.82458901405334,1721.259550333023,61.25268155708909,157.47157967090607,0.0
6/20,2/20,6150,615000,99.33787155151367,1685.7218768000603,61.77007843181491,157.1145161949098,0.0
6/20,3/20,6200,620000,99.13241767883301,1694.7384995222092,62.16703598201275,152.8197980709374,0.0
6/20,4/20,6250,625000,97.57914423942566,1691.5239958763123,61.66369818523526,156.153063043952,0.0
6/20,5/20,6300,630000,99.15249609947205,1705.2722727060318,63.060381822288036,161.43138848617673,0.0
6/20,6/20,6350,635000,99.15692234039307,1722.4042403697968,61.76836520433426,152.11102351173759,0.0
6/20,7/20,6400,640000,97.90571355819702,1726.4262657165527,62.176414117217064,157.95377860590816,0.0
6/20,8/20,6450,645000,96.84393572807312,1712.1051387190819,60.606920409947634,155.1899272352457,0.0
6/20,9/20,6500,650000,100.0083749294281,1723.5093091726303,61.06547665223479,157.64571465924382,0.0
6/20,10/20,6550,655000,98.09680199623108,1718.5268043279648,62.626819152384996,153.23013570159674,0.0
6/20,11/20,6600,660000,99.59423470497131,1734.557300209999,62.820596903562546,155.6979521177709,0.0
6/20,12/20,6650,665000,94.60505104064941,1721.4346554279327,62.636005729436874,149.8687127493322,0.0
6/20,13/20,6700,670000,96.44813990592957,1694.8629346489906,61.875896479934454,148.95301860943437,0.0
6/20,14/20,6750,675000,47572.30152463913,1685.1691141724586,61.96152489632368,146.3992121964693,0.0
6/20,15/20,6800,680000,95.20633840560913,1693.690888762474,60.762486048042774,142.7264686152339,0.0
6/20,16/20,6850,685000,97.63439774513245,1681.9639412760735,60.62637643888593,169.59887286275625,0.0
6/20,17/20,6900,690000,98.07420349121094,1698.5828121304512,62.14558532088995,150.79402239620686,0.0
6/20,18/20,6950,695000,95.09651184082031,1664.611809849739,61.33040253818035,166.21500908210874,0.0
6/20,19/20,7000,700000,98.89606404304504,1664.2075048089027,62.10738077759743,167.18539619073272,0.0
7/20,0/20,7050,705000,99.56049013137817,1629.7842934131622,63.408457927405834,161.5144117511809,0.0
7/20,1/20,7100,710000,96.57452201843262,1621.5426197648048,65.07004733011127,162.04009701684117,0.0
7/20,2/20,7150,715000,97.63278365135193,1588.9626367092133,64.2689061909914,158.7204056046903,0.0
7/20,3/20,7200,720000,99.39677906036377,1564.1346492767334,62.47317584604025,171.6916418634355,0.0
7/20,4/20,7250,725000,97.04052209854126,1555.7170305252075,62.0415366999805,166.08049910888076,0.0
7/20,5/20,7300,730000,97.74812626838684,1538.2516213059425,62.55506378412247,163.73735607787967,0.0
